epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,219.179,0.43003,0.59469,0.73302,0.94496,0.84735,0.80399,0.8911,0.82499,0.85134,0.80875,0.89218,0.82712,0.35599,0.8489,0.97371,0.84109,0.00101873,0.00101873,0.00101873
31,226.454,0.40433,0.55844,0.73689,0.93101,0.87902,0.82241,0.92622,0.86134,0.87902,0.82241,0.92606,0.83974,0.37566,0.90567,0.68517,0.86765,0.00100459,0.00100459,0.00100459
32,233.339,0.41685,0.56926,0.72063,0.93624,0.81301,0.73039,0.86177,0.78541,0.80838,0.72586,0.86072,0.79893,0.40698,0.80177,0.95338,0.89477,0.00099044,0.00099044,0.00099044
33,240.194,0.41366,0.58588,0.71058,0.93811,0.89819,0.78143,0.91378,0.8368,0.90517,0.78445,0.91714,0.84416,0.39829,0.8619,0.67662,0.89661,0.000976293,0.000976293,0.000976293
34,247.059,0.4227,0.58594,0.69198,0.94263,0.8596,0.82349,0.90791,0.84819,0.8544,0.81878,0.90665,0.84299,0.37366,0.85095,0.69361,0.86504,0.000962146,0.000962146,0.000962146
35,253.868,0.39858,0.56266,0.70327,0.93169,0.68913,0.76446,0.82949,0.75233,0.69268,0.77006,0.83244,0.77263,0.41091,0.86889,1.11804,0.93934,0.000947999,0.000947999,0.000947999
36,260.76,0.42175,0.59547,0.68286,0.94276,0.85456,0.82658,0.93388,0.85202,0.8682,0.81299,0.93578,0.86125,0.37069,0.78585,0.63369,0.89862,0.000933851,0.000933851,0.000933851
37,268.096,0.41838,0.57539,0.71,0.95012,0.81479,0.85993,0.9224,0.84345,0.81479,0.85993,0.92215,0.83259,0.35978,1.01103,0.66953,0.87572,0.000919704,0.000919704,0.000919704
38,275.297,0.40641,0.5525,0.67053,0.93243,0.92722,0.75442,0.91929,0.84457,0.93015,0.75672,0.92196,0.84799,0.385,0.88605,0.6339,0.85994,0.000905557,0.000905557,0.000905557
39,282.147,0.40367,0.54489,0.68755,0.93756,0.76553,0.80663,0.88738,0.78661,0.75535,0.7971,0.88042,0.81476,0.41549,0.86425,0.73492,0.91443,0.00089141,0.00089141,0.00089141
40,289.287,0.41119,0.57792,0.67432,0.94167,0.8016,0.79125,0.91986,0.83628,0.79656,0.78649,0.91763,0.85135,0.41585,0.80488,0.77653,0.92384,0.000877263,0.000877263,0.000877263
41,296.092,0.40125,0.51826,0.66385,0.92947,0.89935,0.87968,0.95389,0.88068,0.89401,0.87492,0.95179,0.88636,0.38275,0.76112,0.56571,0.86977,0.000863116,0.000863116,0.000863116
42,302.868,0.39938,0.518,0.64117,0.93525,0.89928,0.81634,0.92972,0.85361,0.9041,0.8211,0.93557,0.86291,0.39223,0.76091,0.65753,0.91268,0.000848969,0.000848969,0.000848969
43,309.554,0.39403,0.54882,0.64732,0.92924,0.94685,0.87304,0.94277,0.87558,0.94685,0.87304,0.94761,0.86303,0.36965,0.75669,0.49469,0.87884,0.000834822,0.000834822,0.000834822
44,316.378,0.39733,0.51795,0.64914,0.92774,0.82508,0.83276,0.93821,0.88228,0.82508,0.83276,0.93637,0.87136,0.36212,0.79255,0.65103,0.87176,0.000820675,0.000820675,0.000820675
45,323.234,0.37699,0.49887,0.60313,0.92463,0.943,0.85879,0.92001,0.85702,0.93808,0.85452,0.92013,0.82902,0.3384,0.98538,0.62602,0.84352,0.000806528,0.000806528,0.000806528
