class,precision,recall,mAP50-box,mAP50-95-box,mAP50-mask,mAP50-95-mask
all,0.914317546373844,0.8682439831677304,0.9487498857332687,0.9004807309870738,0.9511595256725968,0.8929173356993394
frog-eye-leaf-spot,1.0,0.7858692025358691,0.9174781405385122,0.8899267506332678,0.9174781405385122,0.853361407838246
healthy,0.9662827075071823,0.8188627469673221,0.9431033138963171,0.8775444187865638,0.9503322337143013,0.8740990129372681
rust,0.7766699316143497,1.0,0.9856682027649768,0.93397102354139,0.9856682027649768,0.951291586322504
