epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,361.912,0.443,0.6442,0.71701,0.96938,0.8405,0.83448,0.89093,0.81398,0.8405,0.83448,0.89321,0.81006,0.39039,0.92917,0.79931,0.9267,0.00101873,0.00101873,0.00101873
31,373.861,0.41844,0.59882,0.73575,0.95837,0.86432,0.83127,0.89611,0.80791,0.85658,0.82902,0.88445,0.80517,0.41214,0.92315,0.71942,0.94486,0.00100459,0.00100459,0.00100459
32,385.998,0.41944,0.59382,0.69785,0.96233,0.68024,0.76565,0.84935,0.7825,0.68024,0.76565,0.84614,0.75876,0.38018,1.03854,0.96917,0.94028,0.00099044,0.00099044,0.00099044
33,398.134,0.4127,0.58899,0.71416,0.96494,0.89721,0.81019,0.93053,0.85987,0.90261,0.81495,0.93381,0.85256,0.37188,0.9269,0.53472,0.9,0.000976293,0.000976293,0.000976293
34,410.048,0.40758,0.61198,0.68439,0.96192,0.92523,0.7951,0.8881,0.79761,0.92523,0.7951,0.89033,0.82579,0.40639,0.79898,0.59309,0.93741,0.000962146,0.000962146,0.000962146
35,422.31,0.3909,0.56483,0.6759,0.95082,0.8654,0.73418,0.86976,0.80536,0.83525,0.75786,0.87527,0.80715,0.37274,0.84525,0.80897,0.92302,0.000947999,0.000947999,0.000947999
36,433.888,0.4273,0.61133,0.65041,0.96704,0.94839,0.76265,0.90903,0.84085,0.95395,0.76171,0.9094,0.83613,0.37116,0.88759,0.62524,0.93324,0.000933851,0.000933851,0.000933851
37,445.817,0.43277,0.61999,0.72807,0.97579,0.91718,0.81355,0.91005,0.8501,0.91139,0.80906,0.90691,0.84807,0.3596,0.83897,0.61927,0.90862,0.000919704,0.000919704,0.000919704
38,457.345,0.38501,0.5674,0.63514,0.94486,0.87848,0.80562,0.90219,0.85237,0.87848,0.80562,0.90798,0.85311,0.34968,0.80809,0.64363,0.88003,0.000905557,0.000905557,0.000905557
39,468.8,0.40464,0.56407,0.67572,0.96088,0.9334,0.78291,0.90355,0.83686,0.9334,0.78291,0.90228,0.82685,0.36016,0.78798,0.56214,0.95701,0.00089141,0.00089141,0.00089141
40,480.213,0.394,0.58008,0.64007,0.956,0.85738,0.74092,0.90004,0.83014,0.85107,0.73693,0.89517,0.82702,0.36407,0.80126,0.63505,0.90615,0.000877263,0.000877263,0.000877263
41,491.75,0.3827,0.52507,0.62759,0.94255,0.93247,0.77787,0.9234,0.85262,0.92604,0.77389,0.91955,0.86282,0.37081,0.70737,0.61248,0.92686,0.000863116,0.000863116,0.000863116
42,503.393,0.38661,0.51396,0.62828,0.95579,0.96325,0.82478,0.94698,0.88577,0.96274,0.81497,0.94796,0.8864,0.36111,0.69433,0.51931,0.90166,0.000848969,0.000848969,0.000848969
43,515.029,0.37316,0.55188,0.63442,0.93634,0.9509,0.82096,0.95155,0.8881,0.94573,0.81655,0.94686,0.88645,0.35907,0.68401,0.51697,0.90253,0.000834822,0.000834822,0.000834822
44,526.618,0.38566,0.51836,0.64546,0.94203,0.88416,0.80355,0.9099,0.85328,0.88416,0.80355,0.90831,0.86366,0.31957,0.6786,0.60491,0.88446,0.000820675,0.000820675,0.000820675
45,538.073,0.36649,0.49704,0.59115,0.93672,0.92476,0.76112,0.93048,0.86995,0.88556,0.7993,0.93333,0.87736,0.33111,0.82761,0.60496,0.91185,0.000806528,0.000806528,0.000806528
46,549.411,0.37296,0.49801,0.59641,0.9374,0.93248,0.8583,0.93441,0.87174,0.93248,0.8583,0.93673,0.88456,0.36968,0.6885,0.51233,0.94129,0.00079238,0.00079238,0.00079238
47,560.98,0.35538,0.50423,0.58682,0.93239,0.90717,0.83824,0.93522,0.87826,0.90156,0.83347,0.9322,0.8705,0.34656,0.89686,0.48216,0.94897,0.000778233,0.000778233,0.000778233
48,572.772,0.36815,0.53814,0.56841,0.9336,0.92921,0.80606,0.93509,0.86176,0.9239,0.8013,0.92969,0.87155,0.35976,0.79136,0.51294,0.93108,0.000764086,0.000764086,0.000764086
49,584.643,0.3597,0.50549,0.58488,0.9339,0.90002,0.83947,0.94135,0.8703,0.89549,0.83733,0.93672,0.87557,0.32509,0.75802,0.50223,0.90625,0.000749939,0.000749939,0.000749939
50,596.536,0.35118,0.48781,0.56491,0.92923,0.84252,0.80867,0.90867,0.85608,0.84252,0.80867,0.9102,0.85478,0.33,0.82246,0.70493,0.89246,0.000735792,0.000735792,0.000735792
51,608.528,0.34861,0.48555,0.57777,0.92961,0.91556,0.78834,0.92289,0.85486,0.91556,0.78834,0.92119,0.84968,0.34309,0.94417,0.59266,0.92791,0.000721645,0.000721645,0.000721645
52,620.621,0.34228,0.4607,0.57018,0.92484,0.91767,0.81636,0.94334,0.88454,0.91519,0.81659,0.94336,0.88488,0.33754,0.78618,0.58566,0.908,0.000707498,0.000707498,0.000707498
53,632.301,0.33662,0.51422,0.56586,0.91894,0.89897,0.89234,0.94308,0.87241,0.88925,0.89408,0.94401,0.8634,0.36448,0.83672,0.46732,0.95323,0.000693351,0.000693351,0.000693351
54,643.669,0.33267,0.47984,0.53567,0.92001,0.92528,0.82941,0.91566,0.85218,0.92528,0.82941,0.91793,0.8501,0.35354,0.84126,0.55606,0.94508,0.000679204,0.000679204,0.000679204
55,655.144,0.34061,0.44381,0.56671,0.91469,0.86925,0.8306,0.93199,0.8607,0.87474,0.82984,0.93242,0.86266,0.31855,0.81793,0.62348,0.92972,0.000665057,0.000665057,0.000665057
56,667.408,0.32744,0.44792,0.53713,0.91285,0.8886,0.85464,0.93573,0.87213,0.8867,0.86712,0.93178,0.87321,0.31939,0.74904,0.48985,0.89032,0.000650909,0.000650909,0.000650909
57,678.866,0.33228,0.46114,0.52,0.91861,0.89568,0.85944,0.9427,0.88448,0.89065,0.85468,0.94028,0.8862,0.32349,0.63021,0.48649,0.89625,0.000636762,0.000636762,0.000636762
58,690.223,0.31947,0.43561,0.51139,0.90624,0.89897,0.88216,0.93769,0.88126,0.89403,0.87739,0.92996,0.87843,0.3135,0.70524,0.50739,0.89175,0.000622615,0.000622615,0.000622615
59,702.149,0.32895,0.44131,0.5249,0.91574,0.8997,0.86471,0.94235,0.88497,0.89476,0.85994,0.93874,0.88383,0.30901,0.71407,0.43878,0.90447,0.000608468,0.000608468,0.000608468
60,713.901,0.30286,0.44965,0.49226,0.90053,0.96665,0.82701,0.93354,0.88942,0.96665,0.82701,0.93393,0.88086,0.28776,0.67271,0.46471,0.87123,0.000594321,0.000594321,0.000594321
61,725.968,0.3131,0.41731,0.52572,0.91413,0.87349,0.83529,0.92049,0.87657,0.86842,0.83053,0.91812,0.86412,0.30188,0.73357,0.56859,0.88514,0.000580174,0.000580174,0.000580174
62,738.052,0.31292,0.41367,0.50205,0.91275,0.95719,0.81772,0.93752,0.88285,0.96457,0.81166,0.93588,0.88789,0.30781,0.7394,0.54834,0.88308,0.000566027,0.000566027,0.000566027
63,749.921,0.30743,0.43305,0.49493,0.90616,0.96223,0.80135,0.93748,0.88553,0.95717,0.79592,0.93463,0.87785,0.30786,0.74582,0.44937,0.89685,0.00055188,0.00055188,0.00055188
64,761.69,0.29351,0.39322,0.46702,0.89105,0.96018,0.83349,0.95046,0.89982,0.95413,0.82888,0.94875,0.89871,0.29566,0.69248,0.38524,0.86445,0.000537733,0.000537733,0.000537733
65,773.29,0.30435,0.38835,0.48655,0.90415,0.86152,0.89797,0.94551,0.89302,0.85674,0.89338,0.94172,0.89355,0.32417,0.69213,0.44592,0.89992,0.000523586,0.000523586,0.000523586
66,784.756,0.29721,0.41006,0.4745,0.89605,0.88524,0.83489,0.93868,0.9005,0.88524,0.83489,0.93561,0.88574,0.31664,0.74748,0.43581,0.88472,0.000509438,0.000509438,0.000509438
67,796.227,0.29667,0.40234,0.47263,0.89337,0.95782,0.83735,0.94249,0.88895,0.95782,0.83735,0.94393,0.8903,0.31068,0.67533,0.39488,0.90649,0.000495291,0.000495291,0.000495291
68,807.754,0.30722,0.39337,0.4624,0.90698,0.96118,0.8574,0.94275,0.90048,0.95881,0.85145,0.94662,0.89372,0.30235,0.65227,0.41444,0.89108,0.000481144,0.000481144,0.000481144
69,819.035,0.28359,0.38265,0.44957,0.88915,0.83291,0.8696,0.92775,0.88271,0.83291,0.8696,0.93219,0.87964,0.29651,0.74154,0.46145,0.8931,0.000466997,0.000466997,0.000466997
70,830.656,0.28113,0.36109,0.44185,0.88428,0.94234,0.86625,0.93867,0.87413,0.94234,0.86625,0.93845,0.8822,0.29571,0.67353,0.40343,0.86034,0.00045285,0.00045285,0.00045285
71,842.419,0.29513,0.37623,0.45852,0.89982,0.94116,0.85361,0.93573,0.88453,0.94116,0.85361,0.93351,0.88772,0.28582,0.68854,0.40936,0.87554,0.000438703,0.000438703,0.000438703
72,854.312,0.29101,0.37329,0.44678,0.89792,0.93825,0.87272,0.93893,0.89441,0.91938,0.88419,0.9361,0.88852,0.29004,0.65513,0.4011,0.8836,0.000424556,0.000424556,0.000424556
73,866.012,0.2874,0.38866,0.4415,0.89305,0.95603,0.81512,0.92997,0.88065,0.95603,0.81512,0.93493,0.89034,0.29406,0.70409,0.413,0.88805,0.000410409,0.000410409,0.000410409
74,877.981,0.27612,0.36198,0.45923,0.88944,0.93989,0.85843,0.937,0.88576,0.93989,0.85843,0.93934,0.89475,0.29642,0.73925,0.38481,0.89619,0.000396262,0.000396262,0.000396262
75,890.092,0.27666,0.33907,0.43302,0.89475,0.80957,0.91052,0.9496,0.89864,0.91614,0.79803,0.94989,0.9008,0.28982,0.7038,0.47765,0.88984,0.000382115,0.000382115,0.000382115
76,902.267,0.28074,0.38209,0.41771,0.89271,0.91245,0.86354,0.94887,0.89348,0.90705,0.85877,0.94627,0.8947,0.29145,0.71614,0.40935,0.8985,0.000367967,0.000367967,0.000367967
77,914.352,0.27621,0.36359,0.42064,0.88827,0.94456,0.86669,0.94908,0.89218,0.93908,0.86193,0.94728,0.8896,0.28066,0.74127,0.37853,0.86528,0.00035382,0.00035382,0.00035382
78,925.776,0.26659,0.35452,0.38311,0.89586,0.95207,0.85477,0.94213,0.8995,0.94664,0.85001,0.93914,0.8901,0.27708,0.72096,0.41991,0.85506,0.000339673,0.000339673,0.000339673
79,937.88,0.27215,0.34802,0.39787,0.88887,0.90448,0.83852,0.93217,0.88444,0.89958,0.83375,0.93001,0.8825,0.29936,0.77399,0.49227,0.889,0.000325526,0.000325526,0.000325526
80,950.088,0.26891,0.34435,0.41149,0.88241,0.8563,0.88136,0.9338,0.89468,0.8563,0.88136,0.93261,0.88962,0.28224,0.7117,0.43433,0.866,0.000311379,0.000311379,0.000311379
81,961.556,0.26119,0.33545,0.40474,0.88492,0.88651,0.84604,0.93042,0.88639,0.88651,0.84604,0.9306,0.88195,0.29894,0.68535,0.44865,0.8875,0.000297232,0.000297232,0.000297232
82,973.157,0.25354,0.34112,0.38522,0.8773,0.92089,0.88909,0.9425,0.89969,0.92089,0.88909,0.94051,0.89693,0.28909,0.76993,0.39957,0.87881,0.000283085,0.000283085,0.000283085
83,984.972,0.25679,0.33347,0.37324,0.88205,0.94578,0.82298,0.93802,0.89786,0.93983,0.81822,0.93611,0.89507,0.28871,0.70669,0.42469,0.87918,0.000268938,0.000268938,0.000268938
84,997.325,0.25261,0.33894,0.37278,0.87801,0.86722,0.87194,0.93109,0.88502,0.86938,0.86965,0.93157,0.88985,0.28707,0.68182,0.43734,0.88543,0.000254791,0.000254791,0.000254791
85,1009.13,0.24716,0.32165,0.37608,0.87687,0.92186,0.8789,0.94754,0.89712,0.91576,0.88789,0.94874,0.89921,0.28712,0.74009,0.35915,0.89161,0.000240644,0.000240644,0.000240644
86,1020.87,0.25541,0.34697,0.36065,0.87638,0.94337,0.86946,0.95329,0.89519,0.94337,0.86946,0.95401,0.89847,0.2934,0.76206,0.38069,0.9025,0.000226497,0.000226497,0.000226497
87,1032.51,0.24556,0.30671,0.36227,0.87573,0.92724,0.86628,0.93248,0.88381,0.92724,0.86628,0.93642,0.89434,0.2867,0.7391,0.39134,0.88889,0.000212349,0.000212349,0.000212349
88,1044.13,0.24681,0.33236,0.35495,0.87454,0.95987,0.85999,0.94593,0.89834,0.95987,0.85999,0.94757,0.90072,0.27223,0.76819,0.38153,0.88243,0.000198202,0.000198202,0.000198202
