class,precision,recall,mAP50,mAP50-95
all,0.4944139879024105,0.5893604181369992,0.5897414835424898,0.47113123605228147
frog-eye-leaf-spot,0.42189256911096734,0.6470588235294118,0.5660997013463228,0.47797093744405705
healthy,0.5221434103787047,0.38028169014084506,0.43951290787052466,0.33543631690102055
rust,0.5392059842175593,0.7407407407407407,0.763611841410622,0.5999864538117667
