class,precision,recall,mAP50-box,mAP50-95-box,mAP50-mask,mAP50-95-mask
all,0.948046541624168,0.8438305803848577,0.9518032613357188,0.9206996939645795,0.954595161742796,0.912227514020747
frog-eye-leaf-spot,0.965668466390922,0.8273989929441777,0.9529802998735897,0.9281824486035031,0.9529802998735897,0.9052813124102339
healthy,0.9819111988229635,0.7755213196389668,0.9265738691603047,0.8809581829850653,0.9349495703815365,0.8705862855475297
rust,0.8965599596586187,0.9285714285714286,0.975855614973262,0.9529584503051695,0.975855614973262,0.9608149441044771
