class,precision,recall,mAP50,mAP50-95
all,0.7255160059888294,0.6527265140817726,0.7366044406663285,0.6957400441941055
frog-eye-leaf-spot,0.8088040660504429,0.6222379668671228,0.7491739402207503,0.7218603794418984
healthy,0.7396063406205394,0.5211267605633803,0.6525798783738035,0.6039225856995072
rust,0.628137611295506,0.8148148148148148,0.8080595034044317,0.7614371674409106
