class,precision,recall,mAP50-box,mAP50-95-box,mAP50-mask,mAP50-95-mask
all,0.8315240451578173,0.8600136789052456,0.9241651621199954,0.8071125732115222,0.8884207616150231,0.6845138210208742
frog-eye-leaf-spot,0.9658528543791269,0.832117156171778,0.9544332114405121,0.9282783104718334,0.9544332114405121,0.8837086616084664
frog-eye-leaf-spot_lession,0.911599165385488,0.8157894736842105,0.9285754687720768,0.7430761423550293,0.85459770789821,0.41071626931418137
healthy,0.6754906523476886,0.9142857142857143,0.9132106903507813,0.8508683737572392,0.910265843179188,0.8370282925807994
rust,0.7466512679468826,0.9642857142857143,0.9499386637458925,0.8985434525544547,0.9499386637458925,0.9250809116951721
rust_lession,0.8580262857299006,0.7735903360988107,0.8746677762907148,0.6147965869190548,0.7728683818113129,0.3660349699057521
