epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,1447.44,0.33854,0.50247,0.58954,0.93274,0.90632,0.88395,0.9566,0.92167,0.90541,0.88002,0.95114,0.9045,0.25804,0.7814,0.45334,0.84713,0.000745223,0.000745223,0.000745223
31,1495.59,0.34169,0.58253,0.59052,0.93151,0.91898,0.88851,0.96165,0.92807,0.91443,0.88368,0.95513,0.91937,0.26282,0.70645,0.41728,0.84951,0.000721645,0.000721645,0.000721645
32,1544.05,0.32455,0.44211,0.56692,0.92196,0.94529,0.87895,0.96003,0.92418,0.94334,0.87705,0.95481,0.91408,0.29562,0.85775,0.39622,0.87739,0.000698066,0.000698066,0.000698066
33,1592.05,0.32825,0.45873,0.5865,0.92946,0.90002,0.89344,0.95467,0.92213,0.89339,0.8867,0.94831,0.91014,0.25967,0.65093,0.42159,0.84743,0.000674488,0.000674488,0.000674488
34,1639.98,0.31984,0.46458,0.58359,0.92142,0.93395,0.87213,0.95659,0.91791,0.93249,0.86885,0.95025,0.91375,0.26481,0.63777,0.40787,0.84943,0.000650909,0.000650909,0.000650909
35,1688.51,0.30837,0.46223,0.57018,0.9267,0.88409,0.86063,0.9473,0.91887,0.8782,0.85323,0.94092,0.89146,0.24553,0.82349,0.50427,0.82816,0.000627331,0.000627331,0.000627331
36,1736.79,0.3187,0.43908,0.55254,0.9237,0.94742,0.87477,0.95942,0.93202,0.94742,0.87477,0.95381,0.9151,0.25082,0.62696,0.40498,0.83706,0.000603752,0.000603752,0.000603752
37,1784.81,0.30505,0.50267,0.54207,0.9111,0.9438,0.85854,0.95809,0.93204,0.94161,0.85664,0.94748,0.90731,0.24394,0.69259,0.39099,0.83587,0.000580174,0.000580174,0.000580174
38,1832.84,0.29912,0.48636,0.51604,0.91366,0.93822,0.86813,0.95955,0.93223,0.93694,0.86623,0.95352,0.91543,0.24342,0.62129,0.40973,0.82878,0.000556595,0.000556595,0.000556595
39,1880.98,0.29514,0.44114,0.50984,0.91131,0.94204,0.87612,0.95678,0.9276,0.93484,0.86938,0.95021,0.91607,0.25577,0.63319,0.36584,0.84141,0.000533017,0.000533017,0.000533017
40,1929.17,0.29788,0.41436,0.5186,0.91046,0.90612,0.89476,0.96369,0.93373,0.94442,0.84453,0.9552,0.92136,0.24561,0.63657,0.36743,0.84136,0.000509438,0.000509438,0.000509438
41,1977.72,0.29246,0.41809,0.51491,0.91394,0.93195,0.88949,0.96016,0.93008,0.92504,0.87997,0.95146,0.9145,0.24325,0.69327,0.37914,0.82639,0.00048586,0.00048586,0.00048586
42,2025.53,0.28744,0.38486,0.51421,0.90235,0.87622,0.92879,0.96334,0.93301,0.87125,0.92308,0.9543,0.91857,0.25303,0.60484,0.38537,0.85298,0.000462281,0.000462281,0.000462281
43,2073.62,0.27859,0.38271,0.47884,0.90767,0.9395,0.88367,0.96385,0.94159,0.93754,0.88177,0.95703,0.92483,0.2166,0.57879,0.36236,0.81123,0.000438703,0.000438703,0.000438703
44,2121.97,0.28994,0.38939,0.47878,0.90449,0.93335,0.87833,0.96775,0.94291,0.92762,0.87285,0.95716,0.92554,0.20918,0.71642,0.36962,0.81103,0.000415124,0.000415124,0.000415124
45,2170.17,0.28014,0.41827,0.48538,0.90163,0.932,0.89132,0.96477,0.93739,0.93783,0.88116,0.95728,0.92452,0.22094,0.66604,0.35171,0.81763,0.000391546,0.000391546,0.000391546
46,2218.5,0.2874,0.42217,0.49226,0.91266,0.94472,0.86296,0.96156,0.9346,0.94618,0.8587,0.95334,0.91768,0.22758,0.54691,0.36589,0.83578,0.000367967,0.000367967,0.000367967
47,2266.48,0.26852,0.41643,0.4835,0.9017,0.93858,0.88554,0.96778,0.94322,0.93622,0.88041,0.95898,0.92284,0.20771,0.59248,0.32737,0.81864,0.000344389,0.000344389,0.000344389
48,2314.42,0.27042,0.39807,0.46422,0.90255,0.96198,0.89249,0.97302,0.94239,0.96198,0.89249,0.96469,0.92615,0.22045,0.56532,0.33209,0.83135,0.00032081,0.00032081,0.00032081
49,2362.81,0.25351,0.35327,0.43532,0.8859,0.93096,0.88949,0.96139,0.93995,0.9326,0.87419,0.95288,0.92441,0.20013,0.67108,0.3471,0.81174,0.000297232,0.000297232,0.000297232
50,2410.73,0.26157,0.34804,0.46666,0.89365,0.91908,0.91789,0.96832,0.94424,0.91726,0.91598,0.9621,0.92798,0.20749,0.56343,0.33288,0.81363,0.000273654,0.000273654,0.000273654
51,2459.83,0.2153,0.30284,0.32612,0.85245,0.89103,0.95483,0.97238,0.95092,0.90472,0.93017,0.9658,0.93178,0.20863,0.66301,0.33765,0.80647,0.000250075,0.000250075,0.000250075
52,2508.1,0.20904,0.27069,0.30569,0.85317,0.93285,0.89577,0.96754,0.94819,0.93679,0.8919,0.96249,0.9344,0.20137,0.6275,0.37137,0.81609,0.000226497,0.000226497,0.000226497
53,2555.79,0.20865,0.26709,0.29682,0.84783,0.92204,0.88273,0.96335,0.93962,0.9402,0.88001,0.95699,0.92461,0.20917,0.6103,0.34857,0.82552,0.000202918,0.000202918,0.000202918
54,2603.33,0.20268,0.27295,0.27446,0.85277,0.93546,0.90176,0.97062,0.94763,0.93337,0.89995,0.96457,0.93326,0.21015,0.641,0.3543,0.81386,0.00017934,0.00017934,0.00017934
55,2650.86,0.20107,0.24801,0.27412,0.84756,0.93062,0.88751,0.96901,0.94528,0.92861,0.8856,0.96257,0.92814,0.21667,0.61629,0.34374,0.81905,0.000155761,0.000155761,0.000155761
56,2698.36,0.20041,0.23906,0.26322,0.84706,0.94041,0.91931,0.97259,0.94873,0.93572,0.91448,0.96523,0.93417,0.2046,0.58874,0.30412,0.8216,0.000132183,0.000132183,0.000132183
57,2746.29,0.18815,0.2678,0.25446,0.84017,0.93862,0.91058,0.97162,0.94973,0.9366,0.90867,0.96474,0.93521,0.19593,0.59706,0.3152,0.80504,0.000108604,0.000108604,0.000108604
58,2794.28,0.18465,0.22484,0.24152,0.84242,0.94583,0.88297,0.97065,0.951,0.94796,0.87916,0.96429,0.93566,0.19031,0.62487,0.31975,0.79666,8.50255e-05,8.50255e-05,8.50255e-05
59,2842.56,0.17707,0.22989,0.24368,0.83598,0.92709,0.9221,0.974,0.95547,0.92522,0.92019,0.96727,0.93991,0.18847,0.64223,0.3117,0.79999,6.1447e-05,6.1447e-05,6.1447e-05
60,2890.02,0.17587,0.24066,0.23714,0.83535,0.94916,0.91055,0.97269,0.95306,0.94712,0.90865,0.96558,0.936,0.18272,0.61308,0.30896,0.79583,3.78685e-05,3.78685e-05,3.78685e-05
