class,precision,recall,mAP50,mAP50_95
all,0.8888876982790409,0.8457197401528882,0.9299967048687784,0.8633606304324974
frog-eye-leaf-spot,0.9155374640159889,0.8844892948008505,0.9546346324969363,0.9159498493290436
healthy,0.8853414194571377,0.8244977202197475,0.9280595724152845,0.8385815106361065
rust,0.8657842113639962,0.8281722054380665,0.9072959096941142,0.8355505313323424
