class,precision,recall,mAP50,mAP50_95
all,0.7960618381069354,0.7375077185236036,0.8127047636485636,0.7503756059582477
frog-eye-leaf-spot,0.8006840094357678,0.8434357162272357,0.883577255992961,0.850334017611455
healthy,0.8077400262162638,0.7780515542077331,0.8588023845313094,0.7763688166784861
rust,0.7797614786687745,0.591035885135842,0.6957346504214205,0.6244239835848029
