class,precision,recall,mAP50,mAP50-95
all,0.8776134912142894,0.6172882213110511,0.8127420461270001,0.7321024407137894
frog-eye-leaf-spot,0.8081400927554775,0.6176470588235294,0.7807829722141182,0.7257838478794818
healthy,0.8792265669925245,0.5915492957746479,0.800601007597172,0.705635884817635
rust,0.9454738138948665,0.642668309334976,0.8568421585697099,0.7648875894442516
