class,precision,recall,mAP50-box,mAP50-95-box,mAP50-mask,mAP50-95-mask
all,0.8043967395073263,0.6743697478991596,0.8179568565243636,0.7170443554549524,0.813561094377162,0.7463624394259484
frog-eye-leaf-spot,0.7258539378318731,0.5588235294117647,0.7737338694973842,0.7047426961047931,0.7685338044567338,0.7187083951242856
healthy,0.8332959903998155,0.7142857142857143,0.8107677683418734,0.6917335058137456,0.8027805469409185,0.7152222861662656
rust,0.8540402902902903,0.75,0.8693689317338332,0.7546568644463182,0.8693689317338332,0.805156636987294
