class,precision,recall,mAP50,mAP50_95
all,0.7123321185113921,0.675381108787635,0.7365159059232372,0.6765066999738846
frog-eye-leaf-spot,0.7320056547696174,0.812177222071215,0.8364952945562765,0.7981179477523337
healthy,0.6933614150969342,0.7597611827141774,0.8007758074514972,0.7170792571347802
rust,0.7116292856676246,0.45420492157751263,0.5722766157619381,0.5143228950345401
