class,precision,recall,mAP50,mAP50_95
all,0.661460513461423,0.6604549174713844,0.7107044719896054,0.6073937393300102
frog-eye-leaf-spot,0.7045566962640979,0.6728568748827612,0.7164888372635392,0.6283675101791946
healthy,0.7860853513663336,0.6434776660510295,0.7847909259823299,0.6543465450606971
rust,0.49373949275383755,0.6650302114803626,0.630833652722947,0.539467162750139
