split,subset,n_images,mean_leaf_count,largest_is_most_severe_rate,largest_is_max_lesion_rate,mean_severity_gap_pct_point,median_severity_gap_pct_point,max_severity_gap_pct_point
train,all_images,525,2.0895238095238096,0.8628571428571429,0.9352380952380952,0.5381182344323725,0.0,48.537942488284166
train,multi_leaf_only,231,3.4761904761904763,0.6883116883116883,0.8528138528138528,1.2229959873463012,0.0,48.537942488284166
valid,all_images,75,1.76,0.9066666666666666,0.96,0.15454584218807121,0.0,8.208525431402862
valid,multi_leaf_only,29,2.9655172413793105,0.7586206896551724,0.896551724137931,0.39968752290018417,0.0,8.208525431402862
test,all_images,150,1.6533333333333333,0.9731543624161074,0.9798657718120806,0.05191043759321135,0.0,6.2527455743299685
test,multi_leaf_only,45,3.2,0.9111111111111111,0.9333333333333333,0.17188122669752204,0.0,6.2527455743299685
all,all_images,750,1.9693333333333334,0.8891855807743658,0.9465954606141522,0.4029875386415079,0.0,48.537942488284166
all,multi_leaf_only,305,3.3868852459016394,0.7278688524590164,0.8688524590163934,0.9896316932540636,0.0,48.537942488284166
