comparison,n_paired_images,baseline_model,comparison_model,baseline_mae_pct_point,comparison_mae_pct_point,mean_mae_reduction_pct_point,sd_paired_reduction,se_paired_reduction,ci95_mean_reduction_low,ci95_mean_reduction_high,t_statistic,degrees_of_freedom,paired_ttest_pvalue_one_sided_baseline_gt_comparison,paired_ttest_pvalue_two_sided,cohen_dz,n_images_improved,n_images_worse,n_images_equal,shapiro_wilk_statistic_on_reductions,shapiro_wilk_pvalue_on_reductions,alpha,significant_one_sided,significant_two_sided
single_stage_single_module minus two_stage_single_module_dynamic,149,single_stage_single_module,two_stage_single_module_dynamic,1.4881879194630874,0.6602684563758389,0.8279194630872482,1.9474846129801142,0.15954415596729793,0.5126406677573074,1.143198258417189,5.189281036761687,148,3.42252645384143e-07,6.84505290768286e-07,0.4251224669859315,80,18,51,0.5234131422190342,5.077176228090722e-20,0.05,True,True
single_stage_single_module minus single_stage_dual_module,149,single_stage_single_module,single_stage_dual_module,1.4881879194630874,0.38966442953020136,1.0985234899328857,2.570556616513484,0.21058820337492684,0.6823754043561732,1.5146715755095983,5.216453117162966,148,3.0245939535175203e-07,6.049187907035041e-07,0.4273484905470952,82,19,48,0.5366087900837653,9.096102313920041e-20,0.05,True,True
single_stage_single_module minus two_stage_dual_module_dynamic,149,single_stage_single_module,two_stage_dual_module_dynamic,1.4881879194630874,0.4822818791946309,1.005906040268456,2.44551299361151,0.20034423064106252,0.6100012996349923,1.4018107809019198,5.0208884830361855,148,7.295224701010899e-07,1.4590449402021799e-06,0.4113272114669666,81,18,50,0.539985485452305,1.0581077361377473e-19,0.05,True,True
