class,precision,recall,mAP50,mAP50-95
all,0.2876606192733991,0.6863468527347955,0.30290940403264743,0.2720418054846098
frog-eye-leaf-spot,0.2285523627446952,0.8235294117647058,0.32379180285837145,0.3096706065373111
healthy,0.3599767154857361,0.49295774647887325,0.312810668059108,0.2687451058330456
rust,0.2744527795897659,0.7425533999608074,0.2721257411804628,0.23770970408347272
